"pid","id","notes","cat","employer","name","pos","salary","status","currency","oec","country","date","createdAt","flightDate"
"PENDING","DEP-2026-05-16-022","Deployed via Blueorion International","OFW","Emirates Care Services","Alexis Burgos","Kitchen Helper","MYR 1500","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-023","Deployed via Blueorion International","OFW","Singapore Staffing","Algien Ibale Durado","Factory Worker","QAR 1800","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-024","Deployed via Blueorion International","OFW","Jeddah Healthcare","Al-hakim Mag-aso Damih","Admin Support","AED 2200","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-025","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Almhonawar Hamis Amiruddin","Household Service Worker","SAR 1200","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-026","Deployed via Blueorion International","OFW","KL Hospitality Group","Almina Sahibuddin","Caregiver","MYR 1500","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-027","Deployed via Blueorion International","OFW","Qatari Construction","Alquin Balberan Paquibol","Construction Worker","QAR 1800","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-028","Deployed via Blueorion International","OFW","Emirates Care Services","Alvin Gabitano Rojas","Nurse","AED 2200","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-029","Deployed via Blueorion International","OFW","Singapore Staffing","Amal Guro Hadji Ali","Sales Assistant","SAR 1200","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-030","Deployed via Blueorion International","OFW","Jeddah Healthcare","Amelaine Bustillos","Kitchen Helper","MYR 1500","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-031","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Amina Pawai","Factory Worker","QAR 1800","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-032","Deployed via Blueorion International","OFW","KL Hospitality Group","Ammie Marie Advicula Gargarotea","Admin Support","AED 2200","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-033","Deployed via Blueorion International","OFW","Qatari Construction","Ammie Marie Advincula Gargarotes","Household Service Worker","SAR 1200","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-034","Deployed via Blueorion International","OFW","Emirates Care Services","Ana Marie Guiling","Caregiver","MYR 1500","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-035","Deployed via Blueorion International","OFW","Singapore Staffing","Ana Marrie Nogar","Construction Worker","QAR 1800","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-036","Deployed via Blueorion International","OFW","Jeddah Healthcare","Anabeth Sabile Centeno","Nurse","AED 2200","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-037","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Analyn Kausal","Sales Assistant","SAR 1200","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-038","Deployed via Blueorion International","OFW","KL Hospitality Group","Analyn Tarroza Laurito","Kitchen Helper","MYR 1500","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-039","Deployed via Blueorion International","OFW","Qatari Construction","Andress Amigo Crismas Ii","Factory Worker","QAR 1800","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-040","Deployed via Blueorion International","OFW","Emirates Care Services","Anduanaliza Abilong Ambangan","Admin Support","AED 2200","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-041","Deployed via Blueorion International","OFW","Qatari Construction","Angel Chrissia Ramos Ismael","Caregiver","SAR 1300","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-042","Deployed via Blueorion International","OFW","Emirates Care Services","Angela Faith Exaltation Agir Absin","Construction Worker","MYR 1600","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-043","Deployed via Blueorion International","OFW","Singapore Staffing","Angelica Abaoag Ferrer","Nurse","QAR 1900","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-044","Deployed via Blueorion International","OFW","Jeddah Healthcare","Angelica Balaoro Domasig","Sales Assistant","AED 2400","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-045","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Angelica Mae Angeles Calunsod","Kitchen Helper","SAR 1300","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-046","Deployed via Blueorion International","OFW","KL Hospitality Group","Angelica Muan Bondoc","Factory Worker","MYR 1600","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-047","Deployed via Blueorion International","OFW","Qatari Construction","Angelina Dela Cruz Denu","Admin Support","QAR 1900","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-048","Deployed via Blueorion International","OFW","Emirates Care Services","Angelito Decena","Household Service Worker","AED 2400","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-049","Deployed via Blueorion International","OFW","Singapore Staffing","Angelyn Edbos","Caregiver","SAR 1300","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-050","Deployed via Blueorion International","OFW","Jeddah Healthcare","Anidah Suminangcad","Construction Worker","MYR 1600","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-051","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Anielyn Urbano Bugto","Nurse","QAR 1900","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-052","Deployed via Blueorion International","OFW","KL Hospitality Group","Anisa Jainal Harad","Sales Assistant","AED 2400","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-053","Deployed via Blueorion International","OFW","Qatari Construction","Anita Ramos Tagarino","Kitchen Helper","SAR 1300","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-054","Deployed via Blueorion International","OFW","Emirates Care Services","Aniza Rugasan","Factory Worker","MYR 1600","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-055","Deployed via Blueorion International","OFW","Singapore Staffing","Ann Lesley Gose Refugio","Admin Support","QAR 1900","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-056","Deployed via Blueorion International","OFW","Jeddah Healthcare","Anna Jean Sicad Campo","Household Service Worker","AED 2400","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-057","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Annie Calupas Longcanaya","Caregiver","SAR 1300","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-058","Deployed via Blueorion International","OFW","KL Hospitality Group","Annie Chiong","Construction Worker","MYR 1600","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-059","Deployed via Blueorion International","OFW","Qatari Construction","Annie Santos Malonzo","Nurse","QAR 1900","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-060","Deployed via Blueorion International","OFW","Emirates Care Services","Anthony Manipis Baleros","Sales Assistant","AED 2400","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-061","Deployed via Blueorion International","OFW","Singapore Staffing","Antonina Ampunin Reyes","Kitchen Helper","SAR 1300","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-062","Deployed via Blueorion International","OFW","Jeddah Healthcare","Anwar Abdulhatab Intong","Factory Worker","MYR 1600","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-063","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Apple Navarro Ubat","Admin Support","QAR 1900","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-064","Deployed via Blueorion International","OFW","KL Hospitality Group","April Ducusin","Household Service Worker","AED 2400","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-065","Deployed via Blueorion International","OFW","Qatari Construction","April Joy Alo Orlanda","Caregiver","SAR 1300","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-066","Deployed via Blueorion International","OFW","Emirates Care Services","April Lopez","Construction Worker","MYR 1600","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-067","Deployed via Blueorion International","OFW","Singapore Staffing","Arawda Usman","Nurse","QAR 1900","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-068","Deployed via Blueorion International","OFW","Jeddah Healthcare","Argie Benitez Bagasala","Sales Assistant","AED 2400","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-069","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Argie Comon Labor","Kitchen Helper","SAR 1300","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-070","Deployed via Blueorion International","OFW","KL Hospitality Group","Ariteo Macayan","Factory Worker","MYR 1600","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-071","Deployed via Blueorion International","OFW","Qatari Construction","Arlene Broncano Bellen","Admin Support","QAR 1900","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-072","Deployed via Blueorion International","OFW","Emirates Care Services","Arlene Deinla","Household Service Worker","AED 2400","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-073","Deployed via Blueorion International","OFW","Singapore Staffing","Arline Cuizon","Caregiver","SAR 1300","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-074","Deployed via Blueorion International","OFW","Jeddah Healthcare","Arnida Buang Rom","Construction Worker","MYR 1600","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-075","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Arniel Yuson Bautista","Nurse","QAR 1900","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-076","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Arvin Vicente Santos","Household Service Worker","SAR 1200","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-077","Deployed via Blueorion International","OFW","KL Hospitality Group","Aslie Ranay","Caregiver","MYR 1500","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-078","Deployed via Blueorion International","OFW","Qatari Construction","Aurilene Tjidor Caballero","Construction Worker","QAR 1800","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-079","Deployed via Blueorion International","OFW","Emirates Care Services","Avegail Abay Orquiza","Nurse","AED 2200","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-080","Deployed via Blueorion International","OFW","Singapore Staffing","Ayobkhan Renayong","Sales Assistant","SAR 1200","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-081","Deployed via Blueorion International","OFW","Jeddah Healthcare","Badrudin Ali Sanduyugan","Kitchen Helper","MYR 1500","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-082","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Baing Adih","Factory Worker","QAR 1800","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-083","Deployed via Blueorion International","OFW","KL Hospitality Group","Baya Adim","Admin Support","AED 2200","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-084","Deployed via Blueorion International","OFW","Qatari Construction","Baya Guiamad Adim","Household Service Worker","SAR 1200","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-085","Deployed via Blueorion International","OFW","Emirates Care Services","Ben Justin Campos","Caregiver","MYR 1500","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-086","Deployed via Blueorion International","OFW","Singapore Staffing","Benaida Talasan","Construction Worker","QAR 1800","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-087","Deployed via Blueorion International","OFW","Jeddah Healthcare","Blandina Palma","Nurse","AED 2200","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-088","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Bruno Apura Libres","Sales Assistant","SAR 1200","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-089","Deployed via Blueorion International","OFW","KL Hospitality Group","Bryan Manahan Cruz","Kitchen Helper","MYR 1500","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-090","Deployed via Blueorion International","OFW","Qatari Construction","Bungaos Jayson","Factory Worker","QAR 1800","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-091","Deployed via Blueorion International","OFW","Emirates Care Services","Bunny Grace Ladera Tan","Admin Support","AED 2200","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-092","Deployed via Blueorion International","OFW","Singapore Staffing","Cammelle Esperanza Estremos","Household Service Worker","SAR 1200","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-093","Deployed via Blueorion International","OFW","Jeddah Healthcare","Carla Teja","Caregiver","MYR 1500","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-094","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Carlito Espina Castino Jr","Construction Worker","QAR 1800","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-095","Deployed via Blueorion International","OFW","KL Hospitality Group","Carmelita Tangcawan Lines","Nurse","AED 2200","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-096","Deployed via Blueorion International","OFW","Qatari Construction","Carmina Jacueline Toribiio","Sales Assistant","SAR 1200","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-097","Deployed via Blueorion International","OFW","Emirates Care Services","Carolyn Garin","Kitchen Helper","MYR 1500","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-098","Deployed via Blueorion International","OFW","Singapore Staffing","Catherine Aspacio Batulan","Factory Worker","QAR 1800","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-099","Deployed via Blueorion International","OFW","Jeddah Healthcare","Catherine Doria Morales","Admin Support","AED 2200","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-100","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Catherine Esteva Polinar","Household Service Worker","SAR 1200","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-001","Deployed via Blueorion International","OFW","Jeddah Healthcare","Abarham Alih","Household Service Worker","SAR 1,200","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-002","Reassigned to Vietnam","OFW","Ho Chi Minh Development Corp","Abegael Balute","Caregiver","MYR 1,500","Deployed","MYR","complete","Vietnam","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-003","Reassigned to Philippines","OFW","Manila Tech Solutions","Abegail Canuel","Construction Worker","QAR 1,800","Deployed","QAR","complete","Philippines","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-004","Reassigned to Hong Kong","OFW","Hong Kong Manufacturing Ltd","Abigail Llambo Palamario","Nurse","AED 2,200","Deployed","AED","complete","Hong Kong","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-005","Reassigned to Bahrain","OFW","Bahrain Oil Services","Ada Malaga Gordo","Sales Assistant","SGD 1,200","Deployed","SGD","complete","Bahrain","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-006","Reassigned to Oman","OFW","Muscat Tourism Board","Adzma Marwan Madain","Kitchen Helper","SAR 1,500","Deployed","SAR","complete","Oman","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-007","Reassigned to Kuwait","OFW","Kuwait Finance Hub","Agaton Quidor Vidallo Jr","Factory Worker","MYR 1,800","Deployed","MYR","complete","Kuwait","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-008","Deployed via Blueorion International","OFW","KL Hospitality Group","Agnes Somo","Admin Support","QAR 2,200","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-009","Deployed via Blueorion International","OFW","Qatari Construction","Aida Asil Mohammad","Household Service Worker","AED 1,200","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-010","Deployed via Blueorion International","OFW","Emirates Care Services","Aiel Mae De Mesa Villamayor","Caregiver","SGD 1,500","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"","hist-1","Historical deployed record","","SAMA LIFE CARE SERVICES","CHRISTIAN RABACA","","","Deployed","USD","","Saudi Arabia","2022-11-25","2022-11-25","2022-11-25"
"","hist-2","Historical deployed record","","ESSA RASHID AL OWAIDAN","SAINODIN DIRO LUMBOS","","","Deployed","USD","","Saudi Arabia","2023-07-03","2023-07-03","2023-07-03"
"","hist-3","Historical deployed record","","ESSA RASHID AL OWAIDAN","MARK ANTHONY GALANG MITU","","","Deployed","USD","","Saudi Arabia","2023-07-03","2023-07-03","2023-07-03"
"","hist-4","Historical deployed record","","ESSA RASHID AL OWAIDAN","FEFERICK JOHN AHUIHAP","","","Deployed","USD","","Saudi Arabia","2023-07-05","2023-07-05","2023-07-05"
"","hist-5","Historical deployed record","","ESSA RASHID AL OWAIDAN","ALEXANDER BAGUIL UGA","","","Deployed","USD","","Saudi Arabia","2023-07-05","2023-07-05","2023-07-05"
"","hist-6","Historical deployed record","","ESSA RASHED","PAUL FRANCIS PORTACIO","","","Deployed","USD","","Saudi Arabia","2023-07-15","2023-07-15","2023-07-15"
"","hist-7","Historical deployed record","","ESSA RASHED","SANDER SAMOCINO TERROGOSA","","","Deployed","USD","","Saudi Arabia","2023-07-25","2023-07-25","2023-07-25"
"","hist-8","Historical deployed record","","ESSA RASHID AL OWAIDAN","JARINA GUZON ERETA","","","Deployed","USD","","Saudi Arabia","2023-09-07","2023-09-07","2023-09-07"
"","hist-9","Historical deployed record","","ESSA RASHID AL OWAIDAN","ROMEL MORALES VIGILIA","","","Deployed","USD","","Saudi Arabia","2023-09-07","2023-09-07","2023-09-07"
"","hist-10","Historical deployed record","","ESSA RASHID AL OWAIDAN","JERLYN TANIQUE PANAONGAN","","","Deployed","USD","","Saudi Arabia","2023-09-07","2023-09-07","2023-09-07"
"","hist-11","Historical deployed record","","ESSA RASHED OWAIDAN","JOHN REY IDAGDAG PELINGON","","","Deployed","USD","","Saudi Arabia","2023-09-08","2023-09-08","2023-09-08"
"","hist-12","Historical deployed record","","1 LADIES TAILOR","ROSE SAMSON SIMPROTA","","","Deployed","USD","","Saudi Arabia","2020-11-28","2020-11-28","2020-11-28"
"","hist-13","Historical deployed record","","FIKRA FOR LADIES TAILORING","JOJIE CALAPRE LOPEZ","","","Deployed","USD","","Saudi Arabia","2020-11-28","2020-11-28","2020-11-28"
"","hist-14","Historical deployed record","","FIKRA FOR LADIES TAILORING","ANDUANALIZA ABILONG AMBANGAN","","","Deployed","USD","","Saudi Arabia","2020-11-28","2020-11-28","2020-11-28"
"","hist-15","Historical deployed record","","MASGAL SAHER ALJAMAL","VILMA VELASQUEZ AGANON","","","Deployed","USD","","Saudi Arabia","2020-12-08","2020-12-08","2020-12-08"
"","hist-16","Historical deployed record","","MASGAL SAHER ALJAMAL","JENIFER TATOY TUMBAGAHAN","","","Deployed","USD","","Saudi Arabia","2020-12-08","2020-12-08","2020-12-08"
"","hist-17","Historical deployed record","","NURSE AL AMEED","RIZALYN CECILE TANDOC","","","Deployed","USD","","Saudi Arabia","2019-11-28","2019-11-28","2019-11-28"
"","hist-18","Historical deployed record","","NURSE AL AMEED","EUREKA HANNAH TUNGHAYAN","","","Deployed","USD","","Saudi Arabia","2019-11-28","2019-11-28","2019-11-28"
